recipe_id,title,category,ingredients_cleaned
276705d08a5749da825c4294b90a4edf,Ayam Woku Manado,ayam,"ayam kampung potong , jeruk nipis , garam , kunyit , bawang merah , bawang putih , cabe merah , cabe rawit merah , kemiri , serai , daun salam , daun kemangi , penyedap , air"
c07f32e14da241cd9b4cb5b7a5ca4598,Ayam Goreng Tulang Lunak,ayam,"ayam dipotong , serai , daun jeruk , bawang putih haluskan , biji ketumbar , laos haluskan , kunyit , kemiri , garam , air tuk ukep ayam , minyak goreng"
b5f40a80066445fe9585cb1b6c733828,Ayam Cabai Kawin,ayam,"ayam , cabai hijau , cabai merah rawit , bawang putih , bawang merah , gula , garam , tomat merah , air , minyak goreng"
1d259dc494644f4a9102e24df33831ea,Ayam Geprek,ayam,"daging ayam fillet , gula garam , tepung ayam , daun kemangi , kol , timun , minyak panas , sambal korek , cabe rawit merah bawang putih"
fef739323bd54961893a0b27df4615b5,Minyak Ayam,ayam,"kulit ayam & lemaknya , bawang putih , cincang kasar , jahe , geprek , minyak goreng , biji ketumbar"
c2c022f41e2f4c41892dc97c98057233,Nasi Bakar Ayam,ayam,"piring nasi , fillet ayam , potong kotak , daun pisang dibersihkan , lidi tusuk gigi mengapit daun , daun salam , serai , memarkan , daun kemangi , cabe merah , tipis , kecap manis , minyak menumis , air , bumbu halus , cabe merah , cabe , bawang merah , bawang putih , kemiri , kunyit , jahe , tomat , gula pasir , blok kaldu ayam pake maggy pake royco , masako , merica takar nya "
2ae9ecc923874fb184c30c602139a828,Ayam Saus Hintalu Jaruk,ayam,"ayam , hintalu jaruk , cabe merah , cabe hijau , tepung terigu , merica bubuk , bawang putih , jeruk nipis , minyak goreng menumis , gula , garam penyedap"
bd9cccdf43304a41a9ec8533f47bef31,Ayam Saos Teriyaki Lada Hitam,ayam,"ayam dada tulang , bawang bombai , bawang daun , bawang putih , cabe merah , cabe ijo , bumbu , air , mentega menumis , saos teriyaki , gula pasir , royco ayam , larutan meizena"
a4ff5e64bc1447558ec442e1aa6a686e,Steak Ayam,ayam,"dada ayam fillet , air jeruk nipis , garam , terigu , maizena , merica , garam , air , adonan kering , terigu , maizena , merica bubuk , kaldu jamur , garam , minyak goreng , saus jamur , jamur tiram blender , bawang putih cincang halus , keju parut , maizena cairkan dgn air , saus tiram , kecap manis , merica halus , garam & kaldu jamur , air , pelengkap , buncis wortel kukus"
659e735472304306b088d7d20324664b,Ayam Saos Asam Manis Simple,ayam,"ayam dada fillet potong dadu , air jeruk nipis utk baluran , tepung bumbu ayam instan + campur tepung terigu , bawang putih tipis , bawang merah tipis , bawang bombai tipis , tomat haluskan , saos sambal , saos tiram , gula & garam , merica bubuk"
3b246cdb6ada40ca9ca28fb883758708,Mie Ayam Homemade By Suami,ayam,"mie ayam , tepung terigu , telur , minyak goreng , air , garam , air merebus mie , air , minyak goreng , bumbu halus kuah ayam mie ayam , dada ayam potong kotak jngn , bawang merah , bawang putih , kemiri , lada , ketumbar , jahe , lengkuas , serai , daun jeruk , daun salam , kecap , gula merah , minyak menumis , pelengkap , daun bawang , sawi hijau , bawang goreng me lupa , sambal , cabai rawit merah , garam cepat bau asam , air merebus"
